Date,Papanasam,Aryankavu,Thenmala,Kalakkad,Thenkasi,Total Rainfall (mm),Flood Risk
2024-03-01,53,15,29,41,9,147,Yes
2024-03-02,0,18,14,64,8,104,Yes
2024-03-03,99,19,16,7,9,150,Yes
2024-03-04,25,23,47,17,36,148,Yes
2024-03-05,10,6,18,6,92,132,Yes
2024-03-06,22,0,17,60,36,135,Yes
2024-03-07,1,20,99,2,1,123,Yes
2024-03-08,4,72,0,15,12,103,Yes
2024-03-09,55,0,53,0,52,160,Yes
2024-03-10,10,96,20,3,10,139,Yes
2024-03-11,85,4,8,10,5,112,Yes
2024-03-12,55,9,22,33,56,175,Yes
2024-03-13,3,83,14,10,9,119,Yes
2024-03-14,55,16,38,51,6,166,Yes
2024-03-15,54,48,32,4,55,193,Yes
2024-03-16,31,23,53,17,14,138,Yes
2024-03-17,14,92,13,13,13,145,Yes
2024-03-18,9,18,16,14,62,119,Yes
2024-03-19,35,18,17,8,33,111,Yes
2024-03-20,5,4,18,3,98,128,Yes
2024-03-21,16,1,48,8,14,87,Unpredictable
2024-03-22,16,12,15,46,1,90,Unpredictable
2024-03-23,48,8,2,15,0,73,Unpredictable
2024-03-24,17,8,13,58,2,98,Unpredictable
2024-03-25,8,9,9,28,16,70,Unpredictable
2024-03-26,25,1,15,20,18,79,Unpredictable
2024-03-27,6,6,19,15,30,76,Unpredictable
2024-03-28,8,20,51,14,5,98,Unpredictable
2024-03-29,17,8,15,46,2,88,Unpredictable
2024-03-30,47,1,8,19,16,91,Unpredictable
2024-03-31,8,5,2,11,59,85,Unpredictable
2024-04-01,8,2,18,2,51,81,Unpredictable
2024-04-02,41,11,12,1,18,83,Unpredictable
2024-04-03,11,4,17,33,13,78,Unpredictable
2024-04-04,13,13,37,4,13,80,Unpredictable
2024-04-05,13,9,34,17,12,85,Unpredictable
2024-04-06,13,15,2,36,19,85,Unpredictable
2024-04-07,4,14,5,34,19,76,Unpredictable
2024-04-08,8,40,11,5,6,70,Unpredictable
2024-04-09,12,2,12,51,17,94,Unpredictable
2024-04-10,13,14,20,7,2,56,No
2024-04-11,2,4,13,12,14,45,No
2024-04-12,0,13,0,1,6,20,No
2024-04-13,19,20,8,13,5,65,No
2024-04-14,16,16,10,7,10,59,No
2024-04-15,1,6,12,17,20,56,No
2024-04-16,7,17,3,19,7,53,No
2024-04-17,6,5,14,5,13,43,No
2024-04-18,2,0,3,11,20,36,No
2024-04-19,17,12,0,14,2,45,No
2024-04-20,6,20,11,9,11,57,No
2024-04-21,2,14,16,18,3,53,No
2024-04-22,20,6,13,2,12,53,No
2024-04-23,0,8,9,2,16,35,No
2024-04-24,19,1,8,6,4,38,No
2024-04-25,12,13,7,12,3,47,No
2024-04-26,20,15,6,4,14,59,No
2024-04-27,9,10,17,9,12,57,No
2024-04-28,11,14,4,3,19,51,No
2024-04-29,15,18,13,11,12,69,No
